table,scene_id,file,rows,min_ts,max_ts,unique_ts,duration_s,unique_agents,intersect_id,intersect_id_variants,city
ego-trajectories/train/data,1,1.csv,2653,1648865706.1,1648865714.0,80,7.900000095367432,93,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,1,1.csv,2523,1648865706.1,1648865714.0,80,7.900000095367432,46,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,1,1.csv,3131,1648865706.1,1648865714.0,80,7.900000095367432,100,yizhuang#4-1_po,1,PEK
traffic-light/train/data,1,1.csv,462,1648865706.1,1648865714.0,77,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,2,2.csv,2727,1648865706.5,1648865714.4,80,7.900000095367432,93,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,2,2.csv,2527,1648865706.5,1648865714.4,80,7.900000095367432,47,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,2,2.csv,3152,1648865706.5,1648865714.4,80,7.900000095367432,100,yizhuang#4-1_po,1,PEK
traffic-light/train/data,2,2.csv,462,1648865706.5,1648865714.4,77,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,3,3.csv,2799,1648865706.9,1648865714.8,80,7.8999998569488525,99,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,3,3.csv,2532,1648865706.9,1648865714.8,80,7.8999998569488525,45,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,3,3.csv,3186,1648865706.9,1648865714.8,80,7.8999998569488525,98,yizhuang#4-1_po,1,PEK
traffic-light/train/data,3,3.csv,462,1648865706.9,1648865714.8,77,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,4,4.csv,2880,1648865707.4,1648865715.3,80,7.8999998569488525,103,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,4,4.csv,2542,1648865707.4,1648865715.3,80,7.8999998569488525,46,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,4,4.csv,3233,1648865707.4,1648865715.3,80,7.8999998569488525,100,yizhuang#4-1_po,1,PEK
traffic-light/train/data,4,4.csv,462,1648865707.4,1648865715.3,77,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,5,5.csv,2920,1648865707.8,1648865715.7,80,7.900000095367432,104,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,5,5.csv,2555,1648865707.8,1648865715.7,80,7.900000095367432,48,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,5,5.csv,3258,1648865707.8,1648865715.7,80,7.900000095367432,101,yizhuang#4-1_po,1,PEK
traffic-light/train/data,5,5.csv,462,1648865707.8,1648865715.7,77,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,6,6.csv,2944,1648865708.2,1648865716.1,80,7.8999998569488525,104,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,6,6.csv,2569,1648865708.2,1648865716.1,80,7.8999998569488525,49,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,6,6.csv,3290,1648865708.2,1648865716.1,80,7.8999998569488525,103,yizhuang#4-1_po,1,PEK
traffic-light/train/data,6,6.csv,462,1648865708.2,1648865716.1,77,7.8999998569488525,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,7,7.csv,2969,1648865708.6,1648865716.5,80,7.900000095367432,102,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/val/data,7,7.csv,2576,1648865708.6,1648865716.5,80,7.900000095367432,48,yizhuang#4-1_po,1,PEK
vehicle-trajectories/val/data,7,7.csv,3323,1648865708.6,1648865716.5,80,7.900000095367432,102,yizhuang#4-1_po,1,PEK
traffic-light/val/data,7,7.csv,462,1648865708.6,1648865716.5,77,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,8,8.csv,2994,1648865709.0,1648865716.9,80,7.900000095367432,99,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,8,8.csv,2549,1648865709.0,1648865716.8,79,7.799999952316284,47,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,8,8.csv,3348,1648865709.0,1648865716.9,80,7.900000095367432,102,yizhuang#4-1_po,1,PEK
traffic-light/train/data,8,8.csv,462,1648865709.0,1648865716.9,77,7.900000095367432,,yizhuang#4-1_po,1,PEK
ego-trajectories/train/data,9,9.csv,3020,1648865709.4,1648865717.3,80,7.8999998569488525,94,yizhuang#4-1_po,1,PEK
infrastructure-trajectories/train/data,9,9.csv,2552,1648865709.4,1648865717.3,79,7.8999998569488525,46,yizhuang#4-1_po,1,PEK
vehicle-trajectories/train/data,9,9.csv,3360,1648865709.4,1648865717.3,80,7.8999998569488525,102,yizhuang#4-1_po,1,PEK
traffic-light/train/data,9,9.csv,456,1648865709.4,1648865717.2,76,7.799999952316284,,yizhuang#4-1_po,1,PEK
ego-trajectories/val/data,10,10.csv,3042,1648865709.8,1648865717.7,80,7.900000095367432,91,yizhuang#4-1_po,1,PEK
